,date,id,intensidadeVentoKM,temperatura,radiacao,idDireccVento,precAcumulada,intensidadeVento,humidade,pressao,local,lon,lat
134,2023-03-09T14:00,6212122,8.6,14.9,1048.2,6.0,0.0,2.4,88.0,1014.4,Amares Caldelas (CIM),-8.37977778,41.66796389
135,2023-03-08T22:00,6212122,7.2,14.3,3.6,6.0,0.0,2.0,94.0,1011.7,Amares Caldelas (CIM),-8.37977778,41.66796389
136,2023-03-09T16:00,6212122,14.8,16.6,2001.0,7.0,0.0,4.1,70.0,1015.5,Amares Caldelas (CIM),-8.37977778,41.66796389
137,2023-03-09T09:00,6212122,15.5,13.1,93.6,6.0,3.8,4.3,92.0,1010.3,Amares Caldelas (CIM),-8.37977778,41.66796389
138,2023-03-09T13:00,6212122,11.9,12.6,904.2,6.0,0.6,3.3,97.0,1014.3,Amares Caldelas (CIM),-8.37977778,41.66796389
139,2023-03-09T17:00,6212122,9.4,16.0,975.0,6.0,0.0,2.6,76.0,1016.1,Amares Caldelas (CIM),-8.37977778,41.66796389
140,2023-03-08T21:00,6212122,7.2,14.2,3.6,6.0,0.0,2.0,94.0,1011.6,Amares Caldelas (CIM),-8.37977778,41.66796389
141,2023-03-09T11:00,6212122,4.3,10.2,246.6,6.0,4.9,1.2,98.0,1013.0,Amares Caldelas (CIM),-8.37977778,41.66796389
142,2023-03-09T06:00,6212122,8.3,13.1,3.6,6.0,0.1,2.3,92.0,1010.7,Amares Caldelas (CIM),-8.37977778,41.66796389
143,2023-03-09T03:00,6212122,6.5,13.7,3.6,6.0,0.0,1.8,90.0,1011.0,Amares Caldelas (CIM),-8.37977778,41.66796389
168,2023-03-09T01:00,6212124,13.3,13.3,3.6,6.0,0.0,3.7,96.0,1011.6,Braga (CIM),-8.42514722,41.53568333
169,2023-03-09T07:00,6212124,19.4,12.6,4.2,5.0,0.0,5.4,95.0,1011.5,Braga (CIM),-8.42514722,41.53568333
170,2023-03-08T23:00,6212124,10.4,13.6,3.6,6.0,0.0,2.9,99.0,1012.1,Braga (CIM),-8.42514722,41.53568333
171,2023-03-08T19:00,6212124,12.2,14.0,15.0,6.0,0.0,3.4,100.0,1011.4,Braga (CIM),-8.42514722,41.53568333
172,2023-03-09T05:00,6212124,12.2,12.7,3.6,6.0,0.0,3.4,97.0,1011.3,Braga (CIM),-8.42514722,41.53568333
173,2023-03-09T00:00,6212124,9.7,13.4,3.6,5.0,0.0,2.7,97.0,1012.0,Braga (CIM),-8.42514722,41.53568333
174,2023-03-09T04:00,6212124,11.9,12.9,3.6,6.0,0.0,3.3,97.0,1011.3,Braga (CIM),-8.42514722,41.53568333
